longitude,latitude,LST,NDVI,NDBI,MNDWI,Albedo,building_density,Gi_Z_Score,Gi_P_Value,Predicted_LST,SHAP_NDVI,SHAP_NDBI,SHAP_MNDWI,SHAP_Albedo,SHAP_building_density
73.75,18.45,22.04707803307396,0.2370861069626262,0.1981617140197451,-0.2889202426968282,0.2413503696798444,4.818601239329623,0.7105050743124107,0.024,25.428463,0.19840708,2.3647676,-0.0137485145,-0.13226649,-0.1482055
73.7504008016032,18.450400801603205,25.019163143482693,0.7556428757689246,0.0360963663441203,-0.074859431572985,0.3464910693131415,36.005046590097834,0.606264083636647,0.047,25.016932,-0.7954556,1.5636562,0.24660805,0.5848216,0.25779256
73.75080160320641,18.45080160320641,18.216944724566563,0.5587945476302646,-0.1904723837136722,0.123767501525845,0.2377795591519642,95.6799815484286,0.8465914152587379,0.008,20.293667,-1.1241388,-1.3481417,0.17047821,-0.033734888,-0.53031594
73.75120240480962,18.451202404809617,23.47588889774748,0.4387926357773329,0.3137950197069487,0.0393349318457367,0.2073394795976325,50.04011457102012,0.6602774085094164,0.034,23.48222,-1.2099313,2.6884713,-0.24606057,-0.6591219,-0.25065133
73.75160320641282,18.451603206412823,28.179083491562285,0.0404167763981928,0.1847311725538792,0.0839366887168698,0.2482637341750899,43.27291360197047,0.4961820181847312,0.09,28.167858,2.0050945,2.7500439,0.09236908,-0.16822694,0.32906654
73.75200400801603,18.452004008016036,25.08382266144491,0.0403950683025823,-0.3373830606551087,-0.0047299799735695,0.3484747757311656,45.7699605159294,0.7397631168852813,0.018,25.062992,2.5362484,-2.4233036,0.42101398,1.0876853,0.28182682
73.75240480961924,18.45240480961924,31.424304817947306,-0.0477247490486204,0.4109271844938424,0.0153659387107115,0.2005624142112618,20.88827240051637,0.6153233137893382,0.047,31.423447,1.8479179,5.478007,0.29794645,0.5787661,0.061293412
73.75280561122244,18.452805611222445,25.67344345332302,0.6795585311974417,0.322537242923169,0.1095173909391916,0.1521284779407231,36.87071708647952,0.9042416799128145,0.007,25.677189,-1.1289339,3.6014724,-0.023723312,0.27223992,-0.20338066
73.75320641282565,18.45320641282565,28.18511309257273,0.441003510568888,0.449799913291924,-0.2501991946844884,0.3136042060992342,36.98132559871766,0.9160234934966741,0.006,28.198313,-0.33858818,5.140242,0.08180528,0.22594127,-0.07059661
73.75360721442885,18.453607214428857,25.85099182197186,0.537265320016441,0.2257195083883599,-0.1063450218141157,0.3477934638124246,5.2355020187472405,0.9942414461581944,0.003,26.252115,-0.33628103,2.7874925,0.15943328,0.37058187,0.1113793
